level,label,bucket,reason,n_occurrences,n_trials,example_nct,first_seen,weeks_open,parser_rules_version
class,Sex/Gender,,unrecognized,35,35,NCT05965726,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregivers,,unrecognized,33,33,NCT04308512,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,No,,unrecognized,23,18,NCT01559389,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender Identity,,unrecognized,17,17,NCT04757649,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part A,,unrecognized,17,17,NCT03537651,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,No,,unrecognized,23,16,NCT04233372,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Yes,,unrecognized,21,16,NCT01559389,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Yes,,unrecognized,23,16,NCT04233372,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part 1,,unrecognized,15,15,NCT03290248,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part B,,unrecognized,15,15,NCT03537651,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part 2,,unrecognized,14,14,NCT03290248,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase 2,,unrecognized,12,12,NCT02384954,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent,,unrecognized,9,9,NCT04516252,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver,,unrecognized,9,9,NCT02483520,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender identity,,unrecognized,8,8,NCT04870099,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase 1,,unrecognized,8,8,NCT02384954,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Stage 1,,unrecognized,8,8,NCT01960257,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Stage 2,,unrecognized,8,8,NCT03281369,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescents,,unrecognized,7,7,NCT03986190,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,All Participants,,unrecognized,7,7,NCT02699450,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Participants,,unrecognized,7,7,NCT02374138,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex at Birth,,unrecognized,6,6,NCT06050083,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adults,,unrecognized,5,5,NCT02544321,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Main Study,,unrecognized,5,5,NCT05375929,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent Participants,,unrecognized,5,5,NCT02374138,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Baseline,,unrecognized,4,4,NCT04129450,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver Sex,,unrecognized,4,4,NCT03786471,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Sex,,unrecognized,4,4,NCT04528732,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child participants,,unrecognized,4,4,NCT05358444,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part C,,unrecognized,4,4,NCT02855164,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Period 1,,unrecognized,4,4,NCT05032196,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex/gender,,unrecognized,4,4,NCT04279483,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Veterans,,unrecognized,4,4,NCT04241094,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,caregivers,,unrecognized,4,4,NCT04912245,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
