rank,name,n_lead_trials,n_any_trials,roles,normalized_pattern,suggested_rule_type,parsed_parent,draft_rule_line,rules_sha256,cohort_extracted_at
1,Masimo Corporation,89,93,"collaborator,lead",masimo,exact_normalized,,"<canonical>,exact_normalized,""masimo"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
2,"Pacira Pharmaceuticals, Inc",67,85,"collaborator,lead",pacira pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""pacira pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
3,C. R. Bard,64,67,"collaborator,lead",c r bard,exact_normalized,,"<canonical>,exact_normalized,""c r bard"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
4,Baxalta now part of Shire,60,60,lead,baxalta now part of shire,exact_normalized,,"<canonical>,exact_normalized,""baxalta now part of shire"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
5,"Medtronic MiniMed, Inc.",57,59,"collaborator,lead",medtronic minimed,exact_normalized,,"<canonical>,exact_normalized,""medtronic minimed"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
6,W.L.Gore & Associates,57,57,lead,w l gore and associates,exact_normalized,,"<canonical>,exact_normalized,""w l gore and associates"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
7,"EMD Serono Research & Development Institute, Inc.",56,59,"collaborator,lead",emd serono research and development institute,exact_normalized,,"<canonical>,exact_normalized,""emd serono research and development institute"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
8,Shionogi,55,76,"collaborator,lead",shionogi,exact_normalized,,"<canonical>,exact_normalized,""shionogi"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
9,Cochlear,54,56,"collaborator,lead",cochlear,exact_normalized,,"<canonical>,exact_normalized,""cochlear"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
10,CIBA VISION,47,48,"collaborator,lead",ciba vision,exact_normalized,,"<canonical>,exact_normalized,""ciba vision"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
