name,n_trials,roles,agency_class,rules_sha256
National Cancer Institute (NCI),4468,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
VA Office of Research and Development,1089,"collaborator,lead",FED,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"National Heart, Lung, and Blood Institute (NHLBI)",1070,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Massachusetts General Hospital,1020,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute of Allergy and Infectious Diseases (NIAID),922,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute of Mental Health (NIMH),922,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute on Drug Abuse (NIDA),917,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institutes of Health (NIH),895,collaborator,NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
M.D. Anderson Cancer Center,865,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),817,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Mayo Clinic,799,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Duke University,746,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute on Aging (NIA),717,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"University of California, San Francisco",674,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),672,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Washington University School of Medicine,664,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Stanford University,658,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Johns Hopkins University,656,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
