seeded_canonical,stem,candidate_literal,n_trials,agency_class,suggested_action
Medtronic Cardiac Rhythm and Heart Failure,medtronic,Medtronic,654,INDUSTRY,
Medtronic - MITG,medtronic,Medtronic,654,INDUSTRY,
Janssen Pharmaceutical K.K.,janssen,"Janssen Scientific Affairs, LLC",167,INDUSTRY,
"Janssen Research & Development, LLC",janssen,"Janssen Scientific Affairs, LLC",167,INDUSTRY,
Janssen Pharmaceutical K.K.,janssen,"Janssen, LP",164,INDUSTRY,
"Janssen Research & Development, LLC",janssen,"Janssen, LP",164,INDUSTRY,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",johnson,Johnson & Johnson,131,INDUSTRY,
"Johnson & Johnson Vision Care, Inc.",johnson,Johnson & Johnson,131,INDUSTRY,
Shire,shire,Baxalta now part of Shire,111,INDUSTRY,
Astellas Pharma Inc,astellas,Astellas Pharma Europe B.V.,110,INDUSTRY,
"Astellas Pharma Global Development, Inc.",astellas,Astellas Pharma Europe B.V.,110,INDUSTRY,
Janssen Pharmaceutical K.K.,janssen,Janssen-Cilag Ltd.,106,INDUSTRY,
"Janssen Research & Development, LLC",janssen,Janssen-Cilag Ltd.,106,INDUSTRY,
Astellas Pharma Inc,astellas,"Astellas Pharma US, Inc.",92,INDUSTRY,
"Astellas Pharma Global Development, Inc.",astellas,"Astellas Pharma US, Inc.",92,INDUSTRY,
Janssen Pharmaceutical K.K.,janssen,"Janssen Korea, Ltd., Korea",89,INDUSTRY,
"Janssen Research & Development, LLC",janssen,"Janssen Korea, Ltd., Korea",89,INDUSTRY,
"Janssen Research & Development, LLC",janssen,Janssen Pharmaceuticals,88,INDUSTRY,
Janssen Pharmaceutical K.K.,janssen,Janssen Pharmaceuticals,88,INDUSTRY,
"Jiangsu HengRui Medicine Co., Ltd.",jiangsu,"Jiangsu Simcere Pharmaceutical Co., Ltd.",83,INDUSTRY,
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",jiangsu,"Jiangsu Simcere Pharmaceutical Co., Ltd.",83,INDUSTRY,
"Johnson & Johnson Vision Care, Inc.",johnson,Mead Johnson Nutrition,82,INDUSTRY,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",johnson,Mead Johnson Nutrition,82,INDUSTRY,
Medtronic Cardiac Rhythm and Heart Failure,medtronic,"Medtronic MiniMed, Inc.",77,INDUSTRY,
Medtronic - MITG,medtronic,"Medtronic MiniMed, Inc.",77,INDUSTRY,
Abbott Medical Devices,abbott,Abbott Diabetes Care,73,INDUSTRY,
Abbott Nutrition,abbott,Abbott Diabetes Care,73,INDUSTRY,
Abbott,abbott,Abbott Diabetes Care,73,INDUSTRY,
Medtronic Cardiac Rhythm and Heart Failure,medtronic,Medtronic Vascular,72,INDUSTRY,
Medtronic Cardiac Rhythm and Heart Failure,medtronic,Medtronic Cardiovascular,72,INDUSTRY,
Medtronic - MITG,medtronic,Medtronic Cardiovascular,72,INDUSTRY,
Medtronic - MITG,medtronic,Medtronic Vascular,72,INDUSTRY,
"Otsuka Pharmaceutical Development & Commercialization, Inc.",otsuka,Otsuka America Pharmaceutical,67,INDUSTRY,
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",cspc,"CSPC Ouyi Pharmaceutical Co., Ltd.",67,INDUSTRY,
"Otsuka Pharmaceutical Co., Ltd.",otsuka,Otsuka America Pharmaceutical,67,INDUSTRY,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",johnson,Johnson & Johnson Consumer and Personal Products Worldwide,65,INDUSTRY,
"Johnson & Johnson Vision Care, Inc.",johnson,Johnson & Johnson Consumer and Personal Products Worldwide,65,INDUSTRY,
Takeda,takeda,"Takeda Development Center Americas, Inc.",63,INDUSTRY,
"Otsuka Pharmaceutical Development & Commercialization, Inc.",otsuka,"Korea Otsuka Pharmaceutical Co., Ltd.",61,INDUSTRY,
"Otsuka Pharmaceutical Co., Ltd.",otsuka,"Korea Otsuka Pharmaceutical Co., Ltd.",61,INDUSTRY,
Shanghai Henlius Biotech,shanghai,"Shanghai Hengrui Pharmaceutical Co., Ltd.",59,INDUSTRY,
Takeda,takeda,"Takeda Pharmaceuticals North America, Inc.",58,INDUSTRY,
Medtronic Cardiac Rhythm and Heart Failure,medtronic,Medtronic Spinal and Biologics,57,INDUSTRY,
Medtronic - MITG,medtronic,Medtronic Spinal and Biologics,57,INDUSTRY,
"Johnson & Johnson Vision Care, Inc.",johnson,Johnson & Johnson Consumer Inc. (J&JCI),57,INDUSTRY,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",johnson,Johnson & Johnson Consumer Inc. (J&JCI),57,INDUSTRY,
Shanghai Henlius Biotech,shanghai,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",56,INDUSTRY,
Gilead Sciences,gilead,"Kite, A Gilead Company",53,INDUSTRY,
UCB Biopharma SRL,ucb biopharma,UCB Biopharma S.P.R.L.,53,INDUSTRY,
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",chia,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",52,INDUSTRY,
Mylan Pharmaceuticals Inc,mylan,Mylan Inc.,52,INDUSTRY,
Shanghai Henlius Biotech,shanghai,"Mabwell (Shanghai) Bioscience Co., Ltd.",52,INDUSTRY,
"Sanofi Pasteur, a Sanofi Company",sanofi,Sanofi-Synthelabo,50,INDUSTRY,
Sanofi,sanofi,Sanofi-Synthelabo,50,INDUSTRY,
"Astellas Pharma Global Development, Inc.",astellas,"Astellas Pharma Korea, Inc.",45,INDUSTRY,
Abbott Nutrition,abbott,Abbott Medical Optics,45,INDUSTRY,
Abbott Medical Devices,abbott,Abbott Medical Optics,45,INDUSTRY,
Abbott,abbott,Abbott Medical Optics,45,INDUSTRY,
Astellas Pharma Inc,astellas,"Astellas Pharma Korea, Inc.",45,INDUSTRY,
Shanghai Henlius Biotech,shanghai,"Shanghai Pharmaceuticals Holding Co., Ltd",44,INDUSTRY,
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",jiangsu,"Jiangsu Hengrui Pharmaceutical Co., Ltd.",44,INDUSTRY,
"Jiangsu HengRui Medicine Co., Ltd.",jiangsu,"Jiangsu Hengrui Pharmaceutical Co., Ltd.",44,INDUSTRY,
"Johnson & Johnson Vision Care, Inc.",johnson,"Johnson & Johnson Surgical Vision, Inc.",43,INDUSTRY,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",johnson,"Johnson & Johnson Surgical Vision, Inc.",43,INDUSTRY,
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",jiangsu,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",42,INDUSTRY,
Shanghai Henlius Biotech,shanghai,Shanghai JMT-Bio Inc.,42,INDUSTRY,
"Jiangsu HengRui Medicine Co., Ltd.",jiangsu,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",42,INDUSTRY,
Merck & Co,merck,Merck Serono International SA,39,INDUSTRY,
Merck KGaA,merck,Merck Serono International SA,39,INDUSTRY,
"Astellas Pharma Global Development, Inc.",astellas,Astellas Pharma Europe Ltd.,37,INDUSTRY,
Astellas Pharma Inc,astellas,Astellas Pharma Europe Ltd.,37,INDUSTRY,
"Otsuka Pharmaceutical Development & Commercialization, Inc.",otsuka,Otsuka Beijing Research Institute,36,INDUSTRY,
"Otsuka Pharmaceutical Co., Ltd.",otsuka,Otsuka Beijing Research Institute,36,INDUSTRY,
Eisai Inc.,eisai,Eisai Korea Inc.,34,INDUSTRY,
Merck & Co,merck,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",33,INDUSTRY,
Merck KGaA,merck,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",33,INDUSTRY,
"Dong-A ST Co., Ltd.",dong-a,"Dong-A Pharmaceutical Co., Ltd.",32,INDUSTRY,
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",cspc,"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",32,INDUSTRY,
"Jiangsu HengRui Medicine Co., Ltd.",jiangsu,"Jiangsu vcare pharmaceutical technology co., LTD",30,INDUSTRY,
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",jiangsu,"Jiangsu vcare pharmaceutical technology co., LTD",30,INDUSTRY,
Merck & Co,merck,Merck Frosst Canada Ltd.,30,INDUSTRY,
Daiichi Sankyo,daiichi,"Daiichi Sankyo Europe, GmbH, a Daiichi Sankyo Company",30,INDUSTRY,
Merck KGaA,merck,Merck Frosst Canada Ltd.,30,INDUSTRY,
